CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
60368a64c337   cachito_asyncio-nexus-1            84.90%    2.163GiB / 15.5GiB   13.96%    5.65MB / 3.67MB   234MB / 416MB     120
24a20d4f4018   cachito_asyncio-db-1               0.02%     45.21MiB / 15.5GiB   0.28%     46.8kB / 37.4kB   48.3MB / 76.4MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.12%     1.612GiB / 15.5GiB   10.40%    48.4kB / 40.1kB   54.5MB / 1.58MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     18.57MiB / 15.5GiB   0.12%     7.66kB / 1kB      31.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.46%     517.4MiB / 15.5GiB   3.26%     3.69MB / 149kB    819MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.44%     149.9MiB / 15.5GiB   0.94%     69.9kB / 82.4kB   28.3MB / 160kB    3
60368a64c337   cachito_asyncio-nexus-1            47.91%    2.196GiB / 15.5GiB   14.17%    6.26MB / 3.76MB   234MB / 437MB     120
24a20d4f4018   cachito_asyncio-db-1               0.00%     46.46MiB / 15.5GiB   0.29%     50.5kB / 39.8kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         1.04%     1.613GiB / 15.5GiB   10.41%    53.3kB / 44kB     54.5MB / 1.58MB   37
2e052d829465   cachito_asyncio-athens-1           0.01%     18.57MiB / 15.5GiB   0.12%     8.85kB / 1.15kB   31.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.29%     445.2MiB / 15.5GiB   2.81%     3.78MB / 164kB    820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.45%     143.5MiB / 15.5GiB   0.90%     73kB / 87.2kB     28.7MB / 168kB    3
60368a64c337   cachito_asyncio-nexus-1            58.91%    2.199GiB / 15.5GiB   14.19%    7.41MB / 3.9MB    234MB / 451MB     121
24a20d4f4018   cachito_asyncio-db-1               0.01%     41.85MiB / 15.5GiB   0.26%     53.3kB / 42.2kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.17%     1.581GiB / 15.5GiB   10.20%    56.6kB / 47.3kB   54.7MB / 1.58MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     16.39MiB / 15.5GiB   0.10%     8.98kB / 1.22kB   31.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.28%     445.3MiB / 15.5GiB   2.81%     3.91MB / 177kB    820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.45%     143.6MiB / 15.5GiB   0.90%     76.1kB / 92.1kB   29.3MB / 176kB    3
60368a64c337   cachito_asyncio-nexus-1            44.37%    2.233GiB / 15.5GiB   14.41%    8.23MB / 4.04MB   235MB / 464MB     121
24a20d4f4018   cachito_asyncio-db-1               0.00%     43.28MiB / 15.5GiB   0.27%     56kB / 44.7kB     48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.52%     1.582GiB / 15.5GiB   10.20%    59.8kB / 50.6kB   54.7MB / 1.58MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     16.39MiB / 15.5GiB   0.10%     9.03kB / 1.26kB   31.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.26%     445.4MiB / 15.5GiB   2.81%     5.05MB / 195kB    820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.44%     143.6MiB / 15.5GiB   0.90%     79.2kB / 96.9kB   29.3MB / 184kB    3
60368a64c337   cachito_asyncio-nexus-1            35.26%    2.253GiB / 15.5GiB   14.53%    10.1MB / 5.19MB   235MB / 478MB     121
24a20d4f4018   cachito_asyncio-db-1               0.00%     43.28MiB / 15.5GiB   0.27%     58.6kB / 47.1kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.15%     1.582GiB / 15.5GiB   10.20%    63.6kB / 54.5kB   54.7MB / 1.58MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     16.39MiB / 15.5GiB   0.10%     9.09kB / 1.33kB   31.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.28%     445.4MiB / 15.5GiB   2.81%     5.34MB / 207kB    820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.63%     143.6MiB / 15.5GiB   0.90%     82.6kB / 102kB    29.3MB / 193kB    3
60368a64c337   cachito_asyncio-nexus-1            22.68%    2.275GiB / 15.5GiB   14.68%    10.9MB / 5.51MB   237MB / 488MB     119
24a20d4f4018   cachito_asyncio-db-1               0.01%     43.31MiB / 15.5GiB   0.27%     61.3kB / 49.5kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.90%     1.582GiB / 15.5GiB   10.20%    67.1kB / 58kB     54.7MB / 1.58MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     17.67MiB / 15.5GiB   0.11%     9.24kB / 1.48kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.51%     445.6MiB / 15.5GiB   2.81%     6.4MB / 222kB     820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.55%     143.6MiB / 15.5GiB   0.90%     85.7kB / 107kB    29.3MB / 201kB    3
60368a64c337   cachito_asyncio-nexus-1            45.28%    2.309GiB / 15.5GiB   14.90%    12.8MB / 6.6MB    237MB / 508MB     119
24a20d4f4018   cachito_asyncio-db-1               0.00%     43.31MiB / 15.5GiB   0.27%     64kB / 51.9kB     48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.15%     1.582GiB / 15.5GiB   10.21%    70.4kB / 61.4kB   54.7MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     17.67MiB / 15.5GiB   0.11%     9.31kB / 1.54kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.25%     439.5MiB / 15.5GiB   2.77%     6.5MB / 232kB     820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.48%     143MiB / 15.5GiB     0.90%     88.8kB / 112kB    29.3MB / 209kB    3
60368a64c337   cachito_asyncio-nexus-1            43.11%    2.317GiB / 15.5GiB   14.95%    13.8MB / 6.71MB   237MB / 516MB     118
24a20d4f4018   cachito_asyncio-db-1               0.00%     43.06MiB / 15.5GiB   0.27%     66.7kB / 54.4kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.52%     1.577GiB / 15.5GiB   10.18%    74.2kB / 65.3kB   54.8MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     17.57MiB / 15.5GiB   0.11%     9.37kB / 1.61kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.19%     439.5MiB / 15.5GiB   2.77%     6.57MB / 239kB    820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.48%     143MiB / 15.5GiB     0.90%     91.9kB / 116kB    29.3MB / 217kB    3
60368a64c337   cachito_asyncio-nexus-1            19.82%    2.353GiB / 15.5GiB   15.18%    14.5MB / 6.81MB   237MB / 525MB     118
24a20d4f4018   cachito_asyncio-db-1               0.00%     43.16MiB / 15.5GiB   0.27%     69.4kB / 56.8kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.18%     1.577GiB / 15.5GiB   10.18%    77.5kB / 68.6kB   54.8MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     17.57MiB / 15.5GiB   0.11%     9.41kB / 1.65kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.25%     439.5MiB / 15.5GiB   2.77%     6.65MB / 249kB    820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.66%     143MiB / 15.5GiB     0.90%     95kB / 121kB      29.3MB / 225kB    3
60368a64c337   cachito_asyncio-nexus-1            25.53%    2.371GiB / 15.5GiB   15.30%    15.1MB / 6.9MB    237MB / 544MB     117
24a20d4f4018   cachito_asyncio-db-1               0.00%     43.16MiB / 15.5GiB   0.27%     72.1kB / 59.2kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.89%     1.577GiB / 15.5GiB   10.18%    80.7kB / 71.9kB   54.8MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.01%     17.57MiB / 15.5GiB   0.11%     9.48kB / 1.72kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.21%     439.6MiB / 15.5GiB   2.77%     6.74MB / 259kB    820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.46%     143MiB / 15.5GiB     0.90%     98.4kB / 126kB    29.3MB / 233kB    3
60368a64c337   cachito_asyncio-nexus-1            29.03%    2.384GiB / 15.5GiB   15.38%    15.9MB / 7.01MB   237MB / 554MB     119
24a20d4f4018   cachito_asyncio-db-1               0.00%     43.2MiB / 15.5GiB    0.27%     74.8kB / 61.7kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.12%     1.578GiB / 15.5GiB   10.18%    84.2kB / 75.5kB   54.8MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     17.57MiB / 15.5GiB   0.11%     9.63kB / 1.87kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.38%     439.7MiB / 15.5GiB   2.77%     8.09MB / 274kB    820MB / 1.55GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.47%     143MiB / 15.5GiB     0.90%     102kB / 131kB     29.3MB / 242kB    3
60368a64c337   cachito_asyncio-nexus-1            9.62%     2.428GiB / 15.5GiB   15.66%    18.1MB / 8.41MB   237MB / 572MB     119
24a20d4f4018   cachito_asyncio-db-1               0.00%     43.2MiB / 15.5GiB    0.27%     78.5kB / 64.1kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         53.89%    2.569GiB / 15.5GiB   16.58%    89.1kB / 79.4kB   55.3MB / 1.59MB   41
2e052d829465   cachito_asyncio-athens-1           0.00%     17.57MiB / 15.5GiB   0.11%     10.6kB / 1.93kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.86%     413.7MiB / 15.5GiB   2.61%     27.4MB / 300kB    820MB / 1.56GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      1.05%     139.9MiB / 15.5GiB   0.88%     106kB / 136kB     29.3MB / 250kB    3
60368a64c337   cachito_asyncio-nexus-1            131.23%   2.599GiB / 15.5GiB   16.77%    43.3MB / 27.9MB   237MB / 593MB     119
24a20d4f4018   cachito_asyncio-db-1               0.00%     41.36MiB / 15.5GiB   0.26%     81.2kB / 66.5kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.23%     1.481GiB / 15.5GiB   9.56%     92.3kB / 82.7kB   55.5MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     16.56MiB / 15.5GiB   0.10%     10.9kB / 2kB      39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.31%     411MiB / 15.5GiB     2.59%     28.1MB / 313kB    820MB / 1.57GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.45%     139.8MiB / 15.5GiB   0.88%     109kB / 141kB     29.3MB / 258kB    3
60368a64c337   cachito_asyncio-nexus-1            33.75%    2.612GiB / 15.5GiB   16.85%    44.4MB / 28.6MB   237MB / 667MB     122
24a20d4f4018   cachito_asyncio-db-1               0.00%     42.12MiB / 15.5GiB   0.27%     83.9kB / 69kB     48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.15%     1.481GiB / 15.5GiB   9.56%     95.6kB / 86kB     55.5MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     16.56MiB / 15.5GiB   0.10%     10.9kB / 2.04kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.35%     411.3MiB / 15.5GiB   2.59%     30.7MB / 331kB    820MB / 1.57GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.54%     139.8MiB / 15.5GiB   0.88%     112kB / 146kB     29.3MB / 266kB    3
60368a64c337   cachito_asyncio-nexus-1            7.37%     2.644GiB / 15.5GiB   17.06%    48.5MB / 31.2MB   237MB / 674MB     123
24a20d4f4018   cachito_asyncio-db-1               0.00%     42.12MiB / 15.5GiB   0.27%     86.6kB / 71.4kB   48.3MB / 76.5MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.19%     1.481GiB / 15.5GiB   9.56%     99.4kB / 89.9kB   55.5MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     16.56MiB / 15.5GiB   0.10%     11kB / 2.11kB     39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.33%     411.4MiB / 15.5GiB   2.59%     31.3MB / 346kB    820MB / 1.57GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.42%     139.8MiB / 15.5GiB   0.88%     115kB / 151kB     29.3MB / 274kB    3
60368a64c337   cachito_asyncio-nexus-1            21.45%    2.683GiB / 15.5GiB   17.31%    50.8MB / 31.9MB   237MB / 700MB     123
24a20d4f4018   cachito_asyncio-db-1               0.00%     42.99MiB / 15.5GiB   0.27%     89.3kB / 73.8kB   48.3MB / 77.1MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.16%     1.481GiB / 15.5GiB   9.56%     103kB / 93.5kB    55.5MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     16.56MiB / 15.5GiB   0.10%     11.1kB / 2.26kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.18%     353.9MiB / 15.5GiB   2.23%     31.5MB / 359kB    820MB / 1.57GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.49%     134.6MiB / 15.5GiB   0.85%     118kB / 156kB     33.4MB / 283kB    3
60368a64c337   cachito_asyncio-nexus-1            148.24%   2.706GiB / 15.5GiB   17.46%    68.7MB / 32.2MB   237MB / 728MB     123
24a20d4f4018   cachito_asyncio-db-1               0.00%     41.04MiB / 15.5GiB   0.26%     92kB / 76.3kB     48.3MB / 77.1MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         61.44%    1.341GiB / 15.5GiB   8.65%     106kB / 96.8kB    56.3MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.02%     14.82MiB / 15.5GiB   0.09%     11.2kB / 2.32kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.26%     354.2MiB / 15.5GiB   2.23%     32.4MB / 367kB    820MB / 1.58GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.81%     135.3MiB / 15.5GiB   0.85%     121kB / 161kB     34.6MB / 291kB    3
60368a64c337   cachito_asyncio-nexus-1            197.60%   3.258GiB / 15.5GiB   21.02%    74.9MB / 33.2MB   238MB / 789MB     124
24a20d4f4018   cachito_asyncio-db-1               0.00%     41.49MiB / 15.5GiB   0.26%     94.7kB / 78.7kB   48.3MB / 77.1MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.13%     1.341GiB / 15.5GiB   8.65%     109kB / 100kB     56.3MB / 1.59MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     14.82MiB / 15.5GiB   0.09%     11.3kB / 2.39kB   39.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.33%     354.2MiB / 15.5GiB   2.23%     32.9MB / 382kB    820MB / 1.58GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.60%     135.3MiB / 15.5GiB   0.85%     125kB / 165kB     34.6MB / 299kB    3
