CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
dcf3763c4940   cachito_threads-nexus-1            0.76%     2.104GiB / 15.5GiB   13.57%    68.6kB / 16.5kB   218MB / 316MB     88
6e08b5e0ca0a   cachito_threads-db-1               0.00%     98.17MiB / 15.5GiB   0.62%     66kB / 39.6kB     26MB / 89.7MB     8
e4f0767f6d62   cachito_threads-athens-1           0.00%     19.32MiB / 15.5GiB   0.12%     15.1kB / 1.76kB   24.2MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   99.45%    1.026GiB / 15.5GiB   6.62%     754MB / 2.01MB    320MB / 2.3GB     9
894c51829de4   cachito_threads-cachito-api-1      0.49%     158.4MiB / 15.5GiB   1.00%     76kB / 87.2kB     48.4MB / 147kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         107.58%   3.149GiB / 15.5GiB   20.32%    88.6kB / 74kB     49.4MB / 6.51MB   70
dcf3763c4940   cachito_threads-nexus-1            0.50%     2.01GiB / 15.5GiB    12.97%    70kB / 16.5kB     218MB / 316MB     88
6e08b5e0ca0a   cachito_threads-db-1               0.00%     68.36MiB / 15.5GiB   0.43%     70.1kB / 41.8kB   26MB / 89.7MB     8
e4f0767f6d62   cachito_threads-athens-1           0.00%     14.51MiB / 15.5GiB   0.09%     16.6kB / 1.82kB   24.2MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   1.06%     888MiB / 15.5GiB     5.60%     754MB / 2.03MB    357MB / 3.05GB    9
894c51829de4   cachito_threads-cachito-api-1      1.31%     160.8MiB / 15.5GiB   1.01%     87.9kB / 104kB    49.4MB / 156kB    3
